a: 9, b: 8 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 9, b: 9 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 9, b: 10 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 9, b: 11 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 9, b: 12 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 9, b: 13 | Non-Quantized: 3.90625e-3 | Quantized: 3.125e-2 | MSE: 7.476806640625e-4
a: 9, b: 14 | Non-Quantized: 1.5625e-2 | Quantized: 3.125e-2 | MSE: 2.44140625e-4
a: 9, b: 15 | Non-Quantized: 3.125e-2 | Quantized: 3.125e-2 | MSE: 0.0
a: 10, b: 0 | Non-Quantized: 3.125e-2 | Quantized: 3.125e-2 | MSE: 0.0
a: 10, b: 1 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 10, b: 2 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 10, b: 3 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 10, b: 4 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 10, b: 5 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 10, b: 6 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 10, b: 7 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 10, b: 8 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 10, b: 9 | Non-Quantized: 1.5625e-2 | Quantized: 3.125e-2 | MSE: 2.44140625e-4
a: 10, b: 10 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 10, b: 11 | Non-Quantized: 1.5625e-2 | Quantized: 3.125e-2 | MSE: 2.44140625e-4
a: 10, b: 12 | Non-Quantized: 3.125e-2 | Quantized: 3.125e-2 | MSE: 0.0
a: 10, b: 13 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 10, b: 14 | Non-Quantized: 1.171875e-2 | Quantized: 3.125e-2 | MSE: 3.814697265625e-4
a: 10, b: 15 | Non-Quantized: 1.5625e-2 | Quantized: 3.125e-2 | MSE: 2.44140625e-4
a: 11, b: 0 | Non-Quantized: 1.171875e-2 | Quantized: 3.125e-2 | MSE: 3.814697265625e-4
a: 11, b: 1 | Non-Quantized: 1.5625e-2 | Quantized: 0.0 | MSE: 2.44140625e-4
a: 11, b: 2 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 11, b: 3 | Non-Quantized: 0.0 | Quantized: 3.125e-2 | MSE: 9.765625e-4
a: 11, b: 4 | Non-Quantized: 1.5625e-2 | Quantized: 0.0 | MSE: 2.44140625e-4
a: 11, b: 5 | Non-Quantized: 1.5625e-2 | Quantized: 0.0 | MSE: 2.44140625e-4
a: 11, b: 6 | Non-Quantized: 0.0 | Quantized: 0.0 | MSE: 0.0
a: 11, b: 7 | Non-Quantized: 1.5625e-2 | Quantized: 0.0 | MSE: 2.44140625e-4
a: 11, b: 8 | Non-Quantized: 3.125e-2 | Quantized: 0.0 | MSE: 9.765625e-4
a: 11, b: 9 | Non-Quantized: 1.5625e-2 | Quantized: 3.125e-2 | MSE: 2.44140625e-4
